,region,period_begin,period_end,period_duration,median_sale_price,homes_sold
2523795,"Chicago, IL",2019-02-01,2019-02-28,30,222750.0,586.0
2526206,"New York, NY",2023-02-01,2023-02-28,30,701000.0,407.0
2529074,"Seattle, WA",2019-04-01,2019-04-30,30,815000.0,579.0
2551649,"Seattle, WA",2019-10-01,2019-10-31,30,795500.0,541.0
2551915,"Austin, TX",2022-03-01,2022-03-31,30,680000.0,860.0
2584200,"Denver, CO",2019-06-01,2019-06-30,30,495000.0,938.0
2597313,"Los Angeles, CA",2018-03-01,2018-03-31,30,770000.0,1501.0
2601553,"Boston, MA",2022-03-01,2022-03-31,30,800000.0,65.0
2614630,"Chicago, IL",2021-02-01,2021-02-28,30,278500.0,612.0
2629445,"Chicago, IL",2021-11-01,2021-11-30,30,310000.0,990.0
2630494,"Austin, TX",2023-02-01,2023-02-28,30,550000.0,483.0
2651996,"New York, NY",2022-08-01,2022-08-31,30,720000.0,804.0
2655139,"Austin, TX",2019-07-01,2019-07-31,30,420000.0,1087.0
2671714,"Raleigh, NC",2018-07-01,2018-07-31,30,310000.0,562.0
2678304,"Boston, MA",2018-03-01,2018-03-31,30,570000.0,51.0
2679372,"Chicago, IL",2018-05-01,2018-05-31,30,250000.0,1120.0
2696315,"Austin, TX",2018-01-01,2018-01-31,30,350000.0,548.0
2696517,"Boston, MA",2022-04-01,2022-04-30,30,892000.0,65.0
2709062,"Atlanta, GA",2022-01-01,2022-01-31,30,447000.0,376.0
2713269,"Raleigh, NC",2018-09-01,2018-09-30,30,299000.0,377.0
2720482,"Raleigh, NC",2021-11-01,2021-11-30,30,428507.0,457.0
2722328,"Chicago, IL",2018-12-01,2018-12-31,30,215000.0,793.0
2723815,"Chicago, IL",2018-04-01,2018-04-30,30,245000.0,1014.0
2733507,"Chicago, IL",2021-03-01,2021-03-31,30,312750.0,942.0
2735363,"Raleigh, NC",2020-08-01,2020-08-31,30,371000.0,506.0
2741343,"Denver, CO",2018-11-01,2018-11-30,30,458000.0,639.0
2749939,"Denver, CO",2021-01-01,2021-01-31,30,501221.0,485.0
2755549,"Raleigh, NC",2023-02-01,2023-02-28,30,422000.0,235.0
2759670,"Boston, MA",2020-11-01,2020-11-30,30,667000.0,74.0
2763160,"Chicago, IL",2019-07-01,2019-07-31,30,265000.0,1058.0
2763474,"Atlanta, GA",2022-11-01,2022-11-30,30,461937.5,308.0
2770818,"Los Angeles, CA",2021-01-01,2021-01-31,30,959000.0,1273.0
2773558,"Chicago, IL",2021-09-01,2021-09-30,30,295000.0,1008.0
2788472,"Austin, TX",2018-06-01,2018-06-30,30,392000.0,1172.0
2805334,"Austin, TX",2019-10-01,2019-10-31,30,409296.5,926.0
2814078,"Denver, CO",2020-04-01,2020-04-30,30,511500.0,502.0
2815914,"Atlanta, GA",2021-02-01,2021-02-28,30,395000.0,498.0
2831569,"Denver, CO",2018-04-01,2018-04-30,30,500000.0,812.0
2850206,"Austin, TX",2022-04-01,2022-04-30,30,694000.0,913.0
2851354,"Austin, TX",2021-08-01,2021-08-31,30,600000.0,1003.0
2855256,"Atlanta, GA",2020-06-01,2020-06-30,30,406250.0,617.0
2859759,"Atlanta, GA",2020-10-01,2020-10-31,30,433450.0,634.0
2860548,"Raleigh, NC",2018-05-01,2018-05-31,30,311325.0,566.0
2866545,"Denver, CO",2022-04-01,2022-04-30,30,725000.0,825.0
2879042,"Chicago, IL",2019-05-01,2019-05-31,30,260000.0,1070.0
2885592,"Boston, MA",2021-02-01,2021-02-28,30,612925.0,45.0
2904576,"New York, NY",2019-05-01,2019-05-31,30,599475.0,656.0
2905261,"New York, NY",2018-01-01,2018-01-31,30,570000.0,690.0
2909385,"Atlanta, GA",2021-12-01,2021-12-31,30,449950.0,573.0
2914020,"Austin, TX",2018-02-01,2018-02-28,30,370000.0,672.0
2933045,"Chicago, IL",2021-10-01,2021-10-31,30,287000.0,1015.0
2933122,"Seattle, WA",2018-07-01,2018-07-31,30,819840.0,626.0
2937912,"Raleigh, NC",2022-04-01,2022-04-30,30,490750.0,428.0
2939989,"Seattle, WA",2019-05-01,2019-05-31,30,815000.0,651.0
2945212,"Denver, CO",2018-05-01,2018-05-31,30,490000.0,961.0
2958745,"Denver, CO",2019-05-01,2019-05-31,30,500000.0,977.0
2960816,"Denver, CO",2020-08-01,2020-08-31,30,526000.0,804.0
2962370,"Atlanta, GA",2019-05-01,2019-05-31,30,385000.0,726.0
2964749,"Los Angeles, CA",2021-09-01,2021-09-30,30,1080000.0,1659.0
2968148,"Atlanta, GA",2018-08-01,2018-08-31,30,353000.0,630.0
